cluster_id,n_messages,canonical_template,example_message,high_msgs,med_msgs,low_msgs,avg_score,max_score,n_groups,n_candidates,high_ratio,med_ratio,low_ratio
646,2,join as a premium member for more sureshot trades with target stoploss and guidance contact @profitseveryday __num__ __num__ for __num__ month join today membership will count from next monday all trades comes with proper target and stoploss live market update in each and every trades trailing stoploss for catch big profit small stoploss big target extra sureshot trades daily __num__ sureshot trades all trades in advance level you can easily buy at our given level only stock option trades for intraday personally support,"JOIN AS A PREMIUM MEMBER FOR MORE SURESHOT TRADES WITH TARGET ,STOPLOSS AND GUIDANCE..

CONTACT 

@Profitseveryday01

1999 FOR 1 MONTH 

Join today, membership will count from next monday 🔥

✅ All trades comes with proper target and stoploss 
✅live market update in each and every trades 
✅ trailing stoploss for catch big profit 
✅ small stoploss big target 
✅ extra sureshot trades 
✅ daily 4-5 sureshot trades 
✅all trades in advance level, you can easily buy at our given level 
✅only stock option trades for intraday 
✅ personally support",2,0,0,80.0,90,1,1,1.0,0.0,0.0
165,1,few space left for account handling account handling space available for fyers zerodha angel one upstox dhan growww and all others solutuon for those who are busy in office work or beginners or having of old losses get profit risk free in your demat account __num__ __num__ profit sharing capital requirement - __num__ k - __num__ lakh capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ l lakh capital __num__ lakh daily profit __num__ lakh risk - __num__ of your capital interest ping me below this link,"Few space left for account handling

Account handling space available
for FYERS & ZERODHA ,angel one ,upstox,Dhan ,Growww and all others 

Solutuon For those Who are busy in Office Work or beginners Or Having Of Old losses 

Get profit Risk free in Your Demat account 

🚀50:50 PROFIT SHARING 🚀

Capital Requirement :-   50k -50Lakh 

Capital 1 Lakh ( Daily Profit 50k++)
Capital 3 Lakh ( Daily Profit 150k)
Capital 5 Lakh ( Daily Profit 3L Lakh+)
Capital 10 Lakh ( Daily Profit 5 Lakh+)

Risk - 5% Of Your Capital 

Interest ping me below this link 👇🏻

http://Wa.me/+919376758631/?text=*Account_handling_service",1,0,0,75.0,75,1,1,1.0,0.0,0.0
269,1,market closing nifty __num__ nifty opened marginally higher and remained in a tight rangebound session consolidating around the vwap largely influenced by sensex expiry-related flows as highlighted in the morning report after brief morning volatility the index traded within a narrow __num__ -point range eventually closing flat near the opening level forming a daily doji candle indicating indecision and a pause after recent gains closing level __num__ __num__ __num__ pts bank nifty bank nifty also opened above the previous close and led initial gains touching a high of __num__ __num__ just shy of the __num__ __num__ resistance as projected in the morning report the index held most of its gains consolidating near vwap for the remainder of the session reflecting underlying strength and maintaining its bullish structure closing level __num__ __num__ __num__ pts broader markets broader markets saw an initial burst of momentum helping the midcap select index reclaim the __num__ __num__ mark but later settled into a rangebound session mirroring the benchmark indices market participation was broad but selective with signs of sector rotation and some profit booking in recent outperformers the advance-decline ratio remained positive with __num__ gainers vs __num__ decliners pointing to continued accumulation in specific pockets midcap select closing level __num__ __num__ __num__ pts sectoral gainers realty __num__ __num__ fmcg __num__ __num__ sectoral losers it - __num__ __num__ pse - __num__ __num__ fii dii data fiis buy __num__ __num__ cr diis sell __num__ cr in equities today,"**Market Closing

🟠 Nifty 50**
Nifty opened marginally higher and remained in a **tight, rangebound session**, consolidating around the **VWAP**, largely influenced by **Sensex expiry-related flows**—as highlighted in the morning report.

After brief morning volatility, the index traded within a **narrow 100-point range**, eventually closing **flat near the opening level**, forming a **daily Doji candle**, indicating **indecision and a pause after recent gains**.
🔸 **Closing Level:** **24,167** (+42 pts)

**🟠 Bank Nifty**
Bank Nifty also opened above the previous close and led initial gains, touching a high of **55,960**, just shy of the **56,000 resistance**, as projected in the morning report.

The index **held most of its gains**, consolidating near VWAP for the remainder of the session, reflecting **underlying strength** and maintaining its **bullish structure**.
🔸 **Closing Level:** **55,647** (+343 pts)

**🟠 Broader Markets**
Broader markets saw an **initial burst of momentum**, helping the **MidCap Select index reclaim the 12,000 mark**, but later settled into a **rangebound session**, mirroring the benchmark indices.

Market participation was **broad but selective**, with signs of **sector rotation and some profit booking** in recent outperformers. The **advance-decline ratio** remained positive, with **315 gainers vs. 182 decliners**, pointing to continued accumulation in specific pockets.
🔸 **MidCap Select Closing Level:** **12,095** (+143 pts)

**✅ Sectoral Gainers: ** Realty(2.42%), FMCG( 1.89%)
**🔻 Sectoral Losers:** IT(-0.57%) PSE(-0.37%)

**FII DII Data**
FIIs Buy  1,290 cr 🚀
DIIs Sell  885 cr 
in equities today",1,0,0,80.0,80,1,1,1.0,0.0,0.0
465,1,few space left for account handling account handling space available for fyers zerodha angel one upstox dhan growww and all others solutuon for those who are busy in office work or beginners or having of old losses get profit risk free in your demat account __num__ profit sharing capital requirement - __num__ lakh - __num__ lakh capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ l lakh capital __num__ lakh daily profit __num__ lakh risk - __num__ of your capital interest ping me below this link,"**Few space left for account handling

Account handling space available
for FYERS & ZERODHA ,angel one ,upstox,Dhan ,Growww and all others 

Solutuon For those Who are busy in Office Work or beginners Or Having Of Old losses 

Get profit Risk free in Your Demat account 

🚀40%PROFIT SHARING 🚀

Capital Requirement :-   1Lakh -50Lakh 

Capital 1 Lakh ( Daily Profit 50k++)
Capital 3 Lakh ( Daily Profit 150k)
Capital 5 Lakh ( Daily Profit 3L Lakh+)
Capital 10 Lakh ( Daily Profit 5 Lakh+)

Risk - 7% Of Your Capital 

Interest ping me below this link 👇🏻

**http://Wa.me/+918764453053/?text=*ACCOUNT_HANDLING_SERVICE",1,0,0,75.0,75,1,1,1.0,0.0,0.0
476,1,few space left for account handling account handling space available for fyers zerodha angel one upstox dhan growww and all others solutuon for those who are busy in office work or beginners or having of old losses get profit risk free in your demat account __num__ profit sharing capital requirement - __num__ lakh - __num__ lakh capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ k capital __num__ lakh daily profit __num__ l lakh capital __num__ lakh daily profit __num__ lakh risk - __num__ of your capital interest ping me below this link,"**Few space left for account handling

Account handling space available
for FYERS & ZERODHA ,angel one ,upstox,Dhan ,Growww and all others 

Solutuon For those Who are busy in Office Work or beginners Or Having Of Old losses 

Get profit Risk free in Your Demat account 

🚀40%PROFIT SHARING 🚀

Capital Requirement :-   1Lakh -50Lakh 

Capital 1 Lakh ( Daily Profit 50k++)
Capital 3 Lakh ( Daily Profit 150k)
Capital 5 Lakh ( Daily Profit 3L Lakh+)
Capital 10 Lakh ( Daily Profit 5 Lakh+)

Risk - 7% Of Your Capital 

Interest ping me below this link 👇🏻

**http://Wa.me/+918764453053/?text=*ACCOUNT_HANDLING_SERVICE",1,0,0,75.0,75,1,1,1.0,0.0,0.0
544,1,morning alert substantial tariff hike on india in __num__ hours us president donald trump with new delhi still looking to find ways to respond to the white house threats of increasing tariffs on indian goods us president donald trump on tuesday issued a fresh warning saying he would raise tariffs very substantially over the next __num__ hours because india is buying russian oil he termed india as not a good trading partner about the trade deal with india that seemed imminent trump said the sticking point with india is that its tariffs are too high trump’s latest statement on the issue came hours after india’s ministry of external affairs mea issued a terse statement on monday evening where it termed the targeting by the us and the european union for importing russian crude unjustified and unreasonable until the monday evening statement indian officials had said new delhi did not want to publicly engage in a war of words with trump preferring to convey its perceptions to the white house behind closed doors the developments in the past __num__ hours have suggested a hardening of stands between the two countries addressing a public meeting in uttar pradesh on sunday prime minister narendra modi had urged indians to buy locally manufactured products global market action dow jones up by __num__ __num__ or __num__ __num__ points ftse up by __num__ __num__ or __num__ __num__ points cac down by __num__ __num__ or __num__ __num__ points dax up by __num__ __num__ or __num__ __num__ points gift nifty down by __num__ __num__ or __num__ __num__ points fii dii activities fii sold __num__ __num__ cr worth of shares dii bought __num__ __num__ cr worth of shares major indian indices pe nifty __num__ __num__ __num__ x nifty bank __num__ __num__ x stocks with high delivery percentage grindwell norton ltd __num__ __num__ sai life sciences ltd __num__ __num__ infosys ltd __num__ __num__ carborundum universal ltd __num__ __num__ bikaji foods international ltd __num__ primary market activities listing today sri lotus developers ltd main board subscribed __num__ __num__ x m b engineering ltd main board subscribed __num__ __num__ x mehul colours ltd bse sme subscribed __num__ __num__ x takyon networks ltd bse sme subscribed __num__ __num__ x nsdl ltd main board subscribed __num__ __num__ x commodities updates gold rs __num__ __num__ __num__ gm silver rs __num__ __num__ kg brcrude rs __num__ barrel copper rs __num__ kg corporate news realty major dlf targets luxury segment launches in the near term kpi green energy q __num__ net jumps over __num__ to rs __num__ __num__ cr on higher revenues britannia q __num__ profit misses estimates sees early signs of urban recovery,"**Morning Alert..
Substantial tariff hike on India in 24 hours: US President Donald Trump**
With New Delhi still looking to find ways to respond to the White House threats of increasing tariffs on Indian goods, US President Donald Trump on Tuesday issued a fresh warning saying he would raise tariffs “very substantially” over the next 24 hours because India is buying Russian oil. He termed India as not a good trading partner. About the trade deal with India that seemed imminent, Trump said the “sticking point” with India is that its tariffs are too high. Trump’s latest statement on the issue came hours after India’s Ministry of External Affairs (MEA) issued a terse statement on Monday evening, where it termed the targeting by the US and the European Union for importing Russian crude unjustified and unreasonable. Until the Monday evening statement, Indian officials had said New Delhi did not want to publicly engage in a war of words with Trump, preferring to convey its perceptions to the White House behind closed doors. The developments in the past 24 hours have suggested a hardening of stands between the two countries. Addressing a public meeting in Uttar Pradesh on Sunday, Prime Minister Narendra Modi had urged Indians to buy locally manufactured products.

**Global market action**
Dow Jones – Up by 0.32% or 142.02 points
FTSE – Up by 0.16% or 14.43 points
CAC – Down by 0.14% or 10.97 points
DAX – Up by 0.37% or 88.38 points
Gift Nifty – Down by 0.17% or 42.50 points
 
**FII/DII activities**
FII – Sold 22.48Cr worth of shares
DII – Bought 3840.39Cr worth of shares.

**Major Indian Indices PE**
Nifty 50 – 21.8x 
Nifty Bank – 15.1x

**Stocks with high delivery percentage**
Grindwell Norton Ltd – 83.1%
Sai Life Sciences Ltd – 82.7%
Infosys Ltd – 81.5%
Carborundum Universal Ltd – 80.6%
Bikaji Foods International Ltd – 80%

**Primary market activities
Listing today**
Sri Lotus Developers Ltd (Main board) – Subscribed 74.10x
M&B Engineering Ltd (Main board) – Subscribed 38.11x
Mehul Colours Ltd (BSE SME) – Subscribed 7.98x
Takyon Networks Ltd (BSE SME) – Subscribed 21.77x
NSDL Ltd (Main board) – Subscribed 41.02x

**Commodities updates**
Gold – Rs 100715/10gm, Silver – Rs 113498/kg, Brcrude – Rs 5747/barrel, Copper – Rs 867/kg.

**Corporate News**
Realty major DLF targets luxury segment launches in the near term.

KPI Green Energy Q1 net jumps over 68% to Rs 111.32 cr on higher revenues.

Britannia Q1 profit misses estimates, sees early signs of urban recovery.",1,0,0,70.0,70,1,1,1.0,0.0,0.0
563,1,stallion india fluorochemicals limited sifl leading indian company specializing in manufacturing blending and distributing refrigerant and industrial gases used in sectors such as air conditioning refrigeration fire safety semiconductors pharmaceuticals automotive and electronics founded in __num__ and incorporated in __num__ the company currently operates four state-of-the-art facilities across maharashtra rajasthan and haryana focusing on advanced energy-efficient refrigerants like hydrocarbons hc hydrofluorocarbons hfcs and hydrofluoroolefins hfos latest updates stallion india signed a memorandum of understanding mou with the government of rajasthan to set up a cutting-edge r- __num__ refrigerant gas manufacturing plant in bhilwara the facility will also manufacture other advanced refrigerants e g r- __num__ a r- __num__ a r- __num__ c r- __num__ b investment __num__ crore inr target production to begin in __num__ jobs about __num__ direct jobs created support rajasthan state industrial development and investment corporation riico will facilitate approvals and infrastructure other important points strong financial growth consistent rise in revenue and profits fy __num__ revenue __num__ __num__ crore pat profit after tax __num__ __num__ crore latest quarter q __num__ fy __num__ shows __num__ revenue growth yoy low debt the company is nearly debt-free and has focused on reducing its debt over time boosting financial stability and reducing risk for investors strategic expansion the new plant in rajasthan will expand domestic manufacturing reduce india’s dependency on imported refrigerants and support sustainability goals operational efficiency ebitda and pat margins have improved reflecting enhanced operational management diverse customer base product range stallion services a broad range of industries and tailors solutions across various gas types helping reduce reliance on any single sector and minimizing business risk experienced leadership led by a management team with decades of experience in the fluorochemicals and specialty gases industry the company is recognized for innovation and regulatory compliance high entry barriers for sector specialized technology infrastructure and regulatory needs serve as protective barriers against easy new competition allowing stallion to maintain its strong position in a growing market,"**Stallion India Fluorochemicals Limited (SIFL)**

🚀🚀🚀🚀💥💥💥🚀🚀🚀🚀

Leading Indian company specializing in manufacturing, blending, and distributing refrigerant and industrial gases used in sectors such as air conditioning, refrigeration, fire safety, semiconductors, pharmaceuticals, automotive, and electronics. Founded in 1992 and incorporated in 2002, the company currently operates four state-of-the-art facilities across Maharashtra, Rajasthan, and Haryana, focusing on advanced, energy-efficient refrigerants like Hydrocarbons (HC), Hydrofluorocarbons (HFCs), and Hydrofluoroolefins (HFOs).

Latest updates
Stallion India signed a Memorandum of Understanding (MoU) with the Government of Rajasthan to set up a cutting-edge R-32 refrigerant gas manufacturing plant in Bhilwara. The facility will also manufacture other advanced refrigerants (e.g., R-410A, R-404A, R-407C, R-454B).

Investment: ₹120 crore (INR)

Target: Production to begin in 2026

Jobs: About 30 direct jobs created

Support: Rajasthan State Industrial Development and Investment Corporation (RIICO) will facilitate approvals and infrastructure.

Other Important points
Strong Financial Growth: Consistent rise in revenue and profits. FY24 revenue: ₹233.23 crore; PAT (Profit after tax): ₹14.78 crore. Latest quarter (Q1 FY26) shows >50% revenue growth YoY.

Low Debt: The company is nearly debt-free and has focused on reducing its debt over time, boosting financial stability and reducing risk for investors.

Strategic Expansion: The new plant in Rajasthan will expand domestic manufacturing, reduce India’s dependency on imported refrigerants, and support sustainability goals.

Operational Efficiency: EBITDA and PAT margins have improved, reflecting enhanced operational management.

Diverse Customer Base & Product Range: Stallion services a broad range of industries and tailors solutions across various gas types, helping reduce reliance on any single sector and minimizing business risk.

Experienced Leadership: Led by a management team with decades of experience in the fluorochemicals and specialty gases industry. The company is recognized for innovation and regulatory compliance.

High Entry Barriers for Sector: Specialized technology, infrastructure, and regulatory needs serve as protective barriers against easy new competition, allowing Stallion to maintain its strong position in a growing market.",1,0,0,70.0,70,1,1,1.0,0.0,0.0
653,1,maxhealth __num__ __num__ to __num__ __num__ almost __num__ st target done profit per lot __num__ premium channel trade,"MAXHEALTH 
28.50 TO 33.95 🔥🔥
ALMOST 1ST TARGET DONE 🔥✅
PROFIT PER LOT 
2800++ 🔥🔥
PREMIUM CHANNEL TRADE 🔥✅",1,0,0,70.0,70,1,1,1.0,0.0,0.0
661,1,auropharma __num__ __num__ to __num__ __num__ __num__ st target done profit per lot __num__ premium channel trade,"AUROPHARMA 
28.50 TO 35.65🔥🔥
1ST TARGET DONE 🔥✅
PROFIT PER LOT 
3900++ 🔥🔥
PREMIUM CHANNEL TRADE 🔥✅",1,0,0,70.0,70,1,1,1.0,0.0,0.0
688,1,unominda __num__ to __num__ __num__ __num__ st target done profit per lot __num__ premium channel trade,"UNOMINDA 
30 TO 35.70🔥🔥
1ST TARGET DONE 🔥✅
PROFIT PER LOT 
3100+🔥
PREMIUM CHANNEL TRADE 🔥✅",1,0,0,70.0,70,1,1,1.0,0.0,0.0
